best_book_id,book_id_new,title,small_image_url,original_publication_year,average_rating,authors,medium_image_url,large_image_url
2767052,0.0,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603s/2767052.jpg,2008.0,4.34,Suzanne Collins,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603l/2767052.jpg
3,1.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022s/3.jpg,1997.0,4.44,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022l/3.jpg
41865,2.0,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443s/41865.jpg,2005.0,3.57,Stephenie Meyer,https://images.gr-assets.com/books/1361039443m/41865.jpg,https://images.gr-assets.com/books/1361039443l/41865.jpg
2657,3.0,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680s/2657.jpg,1960.0,4.25,Harper Lee,https://images.gr-assets.com/books/1361975680m/2657.jpg,https://images.gr-assets.com/books/1361975680l/2657.jpg
4671,4.0,The Great Gatsby,https://images.gr-assets.com/books/1490528560s/4671.jpg,1925.0,3.89,F. Scott Fitzgerald,https://images.gr-assets.com/books/1490528560m/4671.jpg,https://images.gr-assets.com/books/1490528560l/4671.jpg
11870085,5.0,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420s/11870085.jpg,2012.0,4.26,John Green,https://images.gr-assets.com/books/1360206420m/11870085.jpg,https://images.gr-assets.com/books/1360206420l/11870085.jpg
5907,6.0,The Hobbit,https://images.gr-assets.com/books/1372847500s/5907.jpg,1937.0,4.25,J.R.R. Tolkien,https://images.gr-assets.com/books/1372847500m/5907.jpg,https://images.gr-assets.com/books/1372847500l/5907.jpg
5107,7.0,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300s/5107.jpg,1951.0,3.79,J.D. Salinger,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300l/5107.jpg
960,8.0,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735s/960.jpg,2000.0,3.85,Dan Brown,https://images.gr-assets.com/books/1303390735m/960.jpg,https://images.gr-assets.com/books/1303390735l/960.jpg
1885,9.0,Pride and Prejudice,https://images.gr-assets.com/books/1320399351s/1885.jpg,1813.0,4.24,Jane Austen,https://images.gr-assets.com/books/1320399351m/1885.jpg,https://images.gr-assets.com/books/1320399351l/1885.jpg
77203,10.0,The Kite Runner,https://images.gr-assets.com/books/1484565687s/77203.jpg,2003.0,4.26,Khaled Hosseini,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687l/77203.jpg
13335037,11.0,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506s/13335037.jpg,2011.0,4.24,Veronica Roth,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506l/13335037.jpg
5470,12.0,1984,https://images.gr-assets.com/books/1348990566s/5470.jpg,1949.0,4.14,"George Orwell, Erich Fromm, Celâl Üster",https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566l/5470.jpg
7613,13.0,Animal Farm,https://images.gr-assets.com/books/1424037542s/7613.jpg,1945.0,3.87,George Orwell,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542l/7613.jpg
48855,14.0,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407s/48855.jpg,1947.0,4.1,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407l/48855.jpg
2429135,15.0,"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566s/2429135.jpg,2005.0,4.11,"Stieg Larsson, Reg Keeland",https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566l/2429135.jpg
6148028,16.0,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780s/6148028.jpg,2009.0,4.3,Suzanne Collins,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780l/6148028.jpg
5,17.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281s/5.jpg,1999.0,4.53,"J.K. Rowling, Mary GrandPré, Rufus Beck",https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281l/5.jpg
34,18.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339s/34.jpg,1954.0,4.34,J.R.R. Tolkien,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339l/34.jpg
7260188,19.0,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419s/7260188.jpg,2010.0,4.03,Suzanne Collins,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419l/7260188.jpg
2,20.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547s/2.jpg,2003.0,4.46,"J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547l/2.jpg
12232938,21.0,The Lovely Bones,https://images.gr-assets.com/books/1457810586s/12232938.jpg,2002.0,3.77,Alice Sebold,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586l/12232938.jpg
